epoch,train_loss,test_accuracy,test_loss
0,1.0923336089249152,0.3741988836055406,5267.101451098919
1,1.0894393803365836,0.3741988836055406,5265.192209303379
2,1.089351725192834,0.3741988836055406,5265.39345318079
3,1.0891588216517027,0.3741988836055406,5265.20723336935
4,1.0889262776889659,0.3741988836055406,5265.02473449707
5,1.0889272459397905,0.3741988836055406,5250.170242488384
6,1.076942339777367,0.45792846805871407,5248.546521753073
7,1.0599461868672462,0.4808765763903246,5092.57886198163
8,1.0269510821401826,0.49431465784577217,5102.71677441895
9,1.0082058830413263,0.4955550961339673,4951.288800239563
10,1.0059688366287924,0.49906967128385366,4926.307811439037
11,0.9939540913616196,0.4955550961339673,4997.634994417429
12,0.9903211660212614,0.4759148232375439,5008.046957522631
13,0.9822468844165854,0.49472813727517057,4906.753674417734
14,0.9790767863042492,0.48253049410791815,4892.927897378802
15,0.9737497430245438,0.4635104403555923,4958.7043095082045
16,0.9766256131480412,0.46495761835848665,4949.452420562506
17,0.9668373467402724,0.46227000206739716,4942.412257894874
18,0.9584206497657303,0.48232375439321895,4902.635049119592
19,0.9440670920830267,0.49452139756047137,4941.244941338897
20,0.9379704742108343,0.4707463303700641,5043.26349170506
21,0.9343007880818331,0.5071325201571222,5034.18911036849
22,0.9233815258862508,0.5294604093446351,4840.583851337433
23,0.9239673062867982,0.532561505065123,4874.591143272817
24,0.9113858231730909,0.5397973950795948,5031.2082137316465
25,0.9186868608720659,0.4843911515402109,4907.7807457745075
26,0.9199473996614853,0.5391771759354972,5003.571136005223
27,0.9146019778599921,0.5408310936530908,4861.402405746281
28,0.9138596715677583,0.538970436220798,4822.469196796417
29,0.9056094260183839,0.5433119702294811,4813.669240921736
